query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
PPRC1,1,0.11695253858646308,0.29975846037362025,0.6316804873825852,0.5308124301661131,0.6834126319891908,0.05173214460660558,0.15260020182307765,8.0,14.0,16.0,8.0,11.0,12.0,9.0,15.0,19.0,sec:heldout
VDAC1,1,-0.47079976297695897,0.1270733923218268,-0.15073285847031634,-0.19990522898641183,-0.11982933699404523,0.03090352147627111,0.0800758919923666,0.0,2.0,4.0,1.0,2.0,3.0,0.0,1.0,3.0,sec:heldout
NOP10,1,0.26017306301212423,0.7298733749210061,0.6809225210866491,0.6154245696007091,0.7611603479577193,0.08023782687107017,0.14573577835701013,10.0,16.0,19.0,9.0,14.0,15.0,10.0,19.0,27.0,sec:heldout
ASCC3,1,0.22351995276233927,0.20548575089210175,0.4790601228739076,0.5759344945007443,0.5562487828063041,0.07718865993239649,-0.019685711694440222,3.0,8.0,13.0,5.0,9.0,14.0,4.0,9.0,18.0,sec:heldout
GAB2,1,0.25521495739023126,0.2240816869687381,0.37188867966189587,0.5156315551784506,0.44096717975086547,0.0690785000889696,-0.07466437542758514,5.0,8.0,11.0,7.0,13.0,17.0,6.0,9.0,15.0,sec:heldout
ZC3H11A,1,0.19512156576993314,0.0021620277687519423,0.3093602584008622,0.27106078196426225,0.3392707979827316,0.0299105395818694,0.06821001601846932,1.0,5.0,8.0,3.0,5.0,9.0,2.0,4.0,8.0,sec:heldout
ZNF140,1,0.0398490500392484,0.09374102386184617,0.11357782082986101,0.09089236551741209,0.2133306739564593,0.09975285312659829,0.12243830843904721,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,sec:heldout
KRR1,1,0.25343672644559606,0.7019871262850473,0.6590194966129245,0.5923117719643808,0.7498135639505833,0.09079406733765882,0.1575017919862025,10.0,17.0,18.0,9.0,14.0,15.0,10.0,19.0,26.0,sec:heldout
RUVBL1,1,0.3736947939497473,0.30405879364637844,0.48539044395336944,0.3889615008393796,0.5124741260121976,0.027083682058828107,0.12351262517281797,7.0,9.0,11.0,6.0,8.0,10.0,7.0,10.0,13.0,sec:heldout
RPE,1,-0.37556653645189764,0.09584681856786664,-0.09215709463534998,0.06854622459237925,0.017438849613361052,0.10959594424871102,-0.0511073749790182,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,sec:heldout
