query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
HMGA1,1,-0.10306631632613156,0.009277091807999727,-0.10249656246336625,-0.17402166518926446,-0.08765421581205611,0.014842346651310137,0.08636744937720835,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,sec:heldout
FCGRT,1,0.10206681256965332,0.28643575092236007,0.4287143717809095,0.43625966554040096,0.4536586325964335,0.024944260815524033,0.017398967056032555,4.0,5.0,9.0,5.0,8.0,11.0,6.0,7.0,12.0,sec:heldout
RPS12,1,0.21856749649430798,0.6536841485143648,0.6366635897938883,0.5381072154626959,0.7301634471709031,0.09349985737701483,0.19205623170820718,10.0,16.0,18.0,8.0,14.0,15.0,10.0,18.0,25.0,sec:heldout
USPL1,1,0.24787435945530442,0.24870280916626977,0.4778022607881816,0.39660720425209806,0.5238215518274,0.04601929103921837,0.12721434757530192,6.0,11.0,13.0,5.0,8.0,9.0,7.0,11.0,17.0,sec:heldout
IPO5,1,0.07960845620536833,-0.0014834773887303944,0.22796229888806563,0.09079426287964358,0.0762905400221455,-0.15167175886592013,-0.014503722857498083,2.0,3.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,sec:heldout
CENPK,1,0.36600349731790893,0.10888482499923961,0.38146950848084077,0.4751770403879996,0.40147055735897963,0.02000104887813886,-0.07370648302902,3.0,7.0,9.0,4.0,8.0,13.0,3.0,6.0,14.0,sec:heldout
EP400,1,0.2453317132781505,0.21922433937218352,0.441862567747867,0.5199029018910215,0.5147088095328113,0.07284624178494431,-0.005194092358210223,7.0,10.0,14.0,8.0,13.0,16.0,8.0,11.0,13.0,sec:heldout
MCRS1,1,-0.12980054421202383,0.021277921712355364,0.5323459243512576,0.5038193036668422,0.5355444657697724,0.003198541418514833,0.03172516210293019,7.0,10.0,17.0,5.0,11.0,15.0,6.0,11.0,16.0,sec:heldout
ETFA,1,-0.10983238673421436,0.5088652720098402,0.26308901298027987,0.5071439048613008,0.5456953475910834,0.28260633461080353,0.038551442729782615,3.0,7.0,11.0,6.0,7.0,14.0,6.0,11.0,15.0,sec:heldout
RBM14-RBM4,1,0.34421204960308366,0.052836053697872996,0.46692821297902354,0.5325551869652322,0.5135144804362822,0.04658626745725869,-0.019040706528949958,5.0,8.0,10.0,6.0,10.0,12.0,6.0,9.0,17.0,sec:heldout
CNOT4,1,-0.0300496339441861,-0.010753058750219202,-0.09786042117309747,0.12289725345011832,-0.053416257398270134,0.044444163774827336,-0.17631351084838845,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,sec:heldout
TUBA1C,1,0.21712309562330814,-0.1820780323713972,-0.10878576409536332,-0.08531650628453763,-0.15094557306041054,-0.042159808965047216,-0.06562906677587291,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,sec:heldout
AMPD3,1,-0.4255778844930058,0.1296839288750121,-0.09933069562256595,0.11880215263936977,0.13328130698432644,0.2326120026068924,0.014479154344956668,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,sec:heldout
SOD1,1,-0.09118914161297809,0.06385598002869826,-0.006838490774351958,-0.009865031435698458,0.0668151074877604,0.07365359826211236,0.07668013892345886,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,sec:heldout
SFXN1,1,0.06495497479850319,0.08517154696500667,0.26859233710373015,0.5038929483303604,0.2479333863063423,-0.02065895079738786,-0.25595956202401804,1.0,4.0,10.0,4.0,8.0,13.0,1.0,5.0,10.0,sec:heldout
SUZ12,1,-0.07177040216465505,0.1333198060143232,-0.1855087183918119,0.11512378811094796,-0.024180366380032955,0.16132835201177895,-0.1393041544909809,0.0,2.0,3.0,3.0,5.0,8.0,0.0,2.0,7.0,sec:heldout
CNOT3,1,0.4372525119430286,0.2116531153776685,0.44241569595802027,0.4588403238554533,0.5540464091817922,0.11163071322377188,0.09520608532633884,5.0,8.0,8.0,4.0,8.0,9.0,6.0,10.0,13.0,sec:heldout
ZNF786,1,0.103883980300513,0.3309273419415459,0.32134398801547653,0.32810167276246155,0.38156105475526925,0.06021706673979271,0.0534593819928077,2.0,3.0,5.0,4.0,5.0,7.0,2.0,4.0,8.0,sec:heldout
UTP11,1,0.2394570483470414,0.6827622437544827,0.6452001114824353,0.5408252374523361,0.7393328490502195,0.09413273756778417,0.19850761159788333,10.0,16.0,18.0,8.0,12.0,13.0,10.0,19.0,25.0,sec:heldout
SRF,1,-0.5626735119911255,0.14231992510200672,-0.3318381832991673,-0.3147626932976943,0.08418101322619187,0.4160191965253592,0.39894370652388617,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,sec:heldout
ZFP36L2,1,-0.026963484686315136,-0.01736909075388125,0.38251997830984136,0.05509811319627083,0.38372585548401744,0.0012058771741760843,0.3286277422877466,4.0,6.0,10.0,2.0,2.0,2.0,3.0,5.0,9.0,sec:heldout
DNAJC19,1,0.3073348722507461,0.4195538263137004,0.5102704003528918,0.584966144508012,0.5529280896181527,0.04265768926526081,-0.032038054889859335,5.0,8.0,12.0,7.0,8.0,11.0,6.0,9.0,20.0,sec:heldout
ZNF704,1,0.27525659339896086,-0.029164072389274622,0.39771967713838485,0.3221415422871151,0.40641423715472397,0.008694560016339115,0.08427269486760885,6.0,6.0,9.0,6.0,6.0,8.0,6.0,7.0,9.0,sec:heldout
SRRM2,1,0.3283671747412928,-0.029597083989384838,0.32629510612217705,0.42048003088542174,0.3807002850106511,0.05440517888847407,-0.03977974587477062,3.0,7.0,10.0,5.0,8.0,10.0,4.0,9.0,19.0,sec:heldout
DTYMK,1,0.1848110288712589,0.5652493067682739,0.5880688786054106,0.616473447314747,0.5915396191243288,0.0034707405189182694,-0.024933828190418117,9.0,9.0,16.0,9.0,12.0,14.0,9.0,12.0,17.0,sec:heldout
COPRS,1,0.1980285572041561,0.07044875328278026,0.03794932553169663,0.2210088292212804,0.35338513215158024,0.31543580661988363,0.13237630293029984,1.0,2.0,4.0,4.0,6.0,7.0,4.0,8.0,14.0,sec:heldout
APIP,1,-0.7886562521563084,0.08666587285536342,0.22362890329787555,0.23633408604914072,-0.1952207471364343,-0.4188496504343099,-0.431554833185575,3.0,6.0,7.0,2.0,4.0,8.0,1.0,2.0,4.0,sec:heldout
COPS8,1,0.23058564455498357,0.1314048099901014,0.49135247747797,0.48641208113749906,0.5216550634463903,0.030302585968420337,0.03524298230889128,4.0,8.0,11.0,4.0,8.0,11.0,5.0,7.0,13.0,sec:heldout
SPHK1,1,-0.2577040057795028,0.012409513814978434,0.1848353659171668,0.26916161297448804,0.05601593273850706,-0.12881943317865974,-0.213145680235981,2.0,5.0,7.0,1.0,5.0,6.0,2.0,2.0,5.0,sec:heldout
UQCRB,1,0.24218429597546032,0.3056758651484183,0.6181839942790613,0.6050461523047342,0.6216157164330112,0.0034317221539498233,0.016569564128276926,6.0,9.0,14.0,6.0,10.0,16.0,6.0,9.0,14.0,sec:heldout
MAP7D3,1,0.11432397742976651,-0.010151880929730525,0.12889213258744772,0.19904989137098603,0.06844568575975025,-0.06044644682769747,-0.13060420561123576,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,sec:heldout
RNMT,1,0.22746131953208923,0.13311466559471805,0.4981919774829405,0.45254472320515954,0.591014283171577,0.09282230568863653,0.13846955996641747,8.0,11.0,12.0,6.0,9.0,10.0,9.0,14.0,21.0,sec:heldout
NACA,1,0.46382922615144945,0.04312783644201431,0.4585207769643163,0.5072856169584837,0.4768636304308034,0.018342853466487063,-0.030421986527680356,5.0,7.0,9.0,6.0,8.0,10.0,5.0,6.0,13.0,sec:heldout
YPEL5,1,-0.0015843645197493501,0.17944454137585164,-0.009864572334261247,0.12125975879384843,0.06349929592092635,0.07336386825518759,-0.05776046287292208,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,sec:heldout
TBPL1,1,0.02600989605153968,-0.06346770508264855,0.2717663279054113,0.3858256366044747,0.29024443303833847,0.01847810513292719,-0.09558120356613625,2.0,6.0,9.0,3.0,6.0,9.0,2.0,6.0,10.0,sec:heldout
PEBP1,1,0.2968656653832553,-0.0786823707767094,0.031378951835378394,-0.038293749871849095,-0.051696092852746574,-0.08307504468812496,-0.013402342980897479,0.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,sec:heldout
GIGYF2,1,0.19450726032787458,0.02885342079372163,-0.02135842970201522,-0.03307655142564387,-0.02354865257449885,-0.0021902228724836326,0.009527898851145019,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,sec:heldout
SHC1,1,0.21688262413485185,0.20005375925921495,0.3470852678718141,0.4353123023047191,0.45053248242988814,0.10344721455807404,0.015220180125169014,4.0,7.0,12.0,6.0,10.0,15.0,5.0,9.0,17.0,sec:heldout
ETF1,1,0.332360324676277,0.45929754590805444,0.5623228350207407,0.6228395077566166,0.5797829566792659,0.017460121658525285,-0.043056551077350624,6.0,9.0,14.0,7.0,9.0,11.0,5.0,9.0,20.0,sec:heldout
OGFOD1,1,0.4550945673271321,0.12014670186061009,0.3967357935158138,0.45707665323705804,0.48580425368727487,0.08906846017146108,0.028727600450216828,4.0,7.0,9.0,7.0,9.0,12.0,5.0,8.0,17.0,sec:heldout
PGBD1,1,-0.07907123318174013,0.04498414488217097,-0.040751486435564636,0.05249609963729579,0.009403544879624451,0.050155031315189086,-0.04309255475767134,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,sec:heldout
MCM3,1,0.22399729300710866,0.5602239361232336,0.595278094381726,0.6017896921776039,0.647533817893937,0.05225572351221108,0.04574412571633313,7.0,9.0,12.0,7.0,12.0,13.0,7.0,10.0,17.0,sec:heldout
BNIP1,1,0.29048463099192307,0.16119831507111473,0.5196615302529576,0.6058718599565098,0.551463193525685,0.031801663272727376,-0.05440866643082487,4.0,10.0,14.0,6.0,12.0,15.0,4.0,11.0,20.0,sec:heldout
PRR12,1,-0.38969531349660325,0.0062745893001882845,0.08139811348429175,0.050602845847179494,0.06836743241421543,-0.013030681070076322,0.017764586567035938,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,sec:heldout
TRMT5,1,0.19047185201267738,0.43539415643463975,0.5978476494812618,0.6675748309231663,0.6174237543640261,0.01957610488276429,-0.050151076559140195,7.0,12.0,19.0,10.0,13.0,18.0,7.0,13.0,22.0,sec:heldout
EID1,1,0.2094816080704555,0.04850357488298276,-0.0399790635527798,0.056795985873839945,0.019495026509076693,0.0594740900618565,-0.037300959364763256,0.0,1.0,3.0,1.0,1.0,5.0,0.0,1.0,3.0,sec:heldout
NT5M,1,-0.0467330890471686,-0.04878422371741605,0.04407158669602878,-0.03416956550232284,-0.017314297825424377,-0.06138588452145316,0.016855267676898465,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,sec:heldout
TFDP1,1,0.053459509196657595,0.34113238191609013,0.48341909588501997,0.4852174899872215,0.5893966003286627,0.10597750444364273,0.10417911034144123,8.0,9.0,15.0,6.0,9.0,13.0,9.0,11.0,17.0,sec:heldout
CDCA2,1,-0.638938700981511,0.06499790234681602,-0.5532319748711179,-0.6347722750920767,-0.5226041661193617,0.03062780875175619,0.11216810897271501,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,sec:heldout
APC,1,-0.5513554886507962,0.1939237434852907,-0.3177381283386319,-0.20434536727526798,-0.3293822458742585,-0.011644117535626608,-0.12503687859899054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,sec:heldout
WDR5,1,0.3855649489069904,0.12088798082176633,0.48312128795298737,0.44811179187739514,0.5007574427232003,0.017636154770212964,0.05264565084580519,6.0,10.0,11.0,5.0,9.0,10.0,6.0,9.0,13.0,sec:heldout
PDCD10,1,0.01465661560603944,0.028940510574705716,-0.09108459837415343,0.045258714547516316,0.03252241253955029,0.12360701091370371,-0.012736302007966029,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,sec:heldout
USP21,1,0.14904383027160506,0.003976895920810614,0.3598139620940259,0.22320430177013337,0.27729433288155875,-0.08251962921246714,0.05409003111142538,6.0,7.0,8.0,3.0,5.0,9.0,5.0,6.0,8.0,sec:heldout
ATP6V1F,1,0.07794669746511328,0.17495580923227105,0.30170453253364865,0.40364869267355336,0.31264161879657376,0.010937086262925111,-0.0910070738769796,3.0,5.0,12.0,5.0,9.0,10.0,3.0,6.0,14.0,sec:heldout
RBM7,1,0.1063691632540592,0.02007600807355659,0.017296452646963275,-0.007882260540004368,0.05987559142142442,0.04257913877446115,0.06775785196142879,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,sec:heldout
C19orf53,1,-0.3034978072386905,0.07892235900849674,0.285935078641294,0.27134437296856223,0.2854753026203482,-0.0004597760209458235,0.014130929651785973,3.0,3.0,5.0,1.0,2.0,6.0,2.0,3.0,6.0,sec:heldout
EMC8,1,-0.26876835170974117,0.11069892465996493,0.18151261661744922,0.13665522724156642,0.1350150607703619,-0.04649755584708731,-0.0016401664712045183,1.0,2.0,6.0,2.0,2.0,3.0,0.0,1.0,3.0,sec:heldout
CBFB,1,-0.0928786450762219,-0.031662661477218045,-0.048793608065336634,-0.09151346383989796,-0.0071130377759502,0.04168057028938643,0.08440042606394776,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,sec:heldout
YWHAE,1,-0.673947742849604,0.03945544055809267,0.18581950912649756,0.04464113493042086,0.2750587127336866,0.08923920360718904,0.23041757780326574,1.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,sec:heldout
PAM16,1,0.31411456809183913,0.5193892153607752,0.5287450369664158,0.6025866999331563,0.5843593507345112,0.055614313768095336,-0.018227349198645104,6.0,8.0,12.0,7.0,8.0,11.0,6.0,10.0,19.0,sec:heldout
HNRNPAB,1,0.013071092580644436,0.07001525489201592,0.0774002728050899,-0.06220771495594559,0.10835372436833207,0.030953451563242168,0.17056143932427767,2.0,2.0,4.0,1.0,3.0,4.0,1.0,2.0,4.0,sec:heldout
HOMER3,1,-0.26706511813279893,0.07192538214441163,0.40757093759361657,0.009475824934518809,0.4490082886573217,0.04143735106370511,0.43953246372280286,6.0,8.0,10.0,1.0,1.0,1.0,6.0,10.0,13.0,sec:heldout
RRP12,1,0.27242484255585026,0.7310671187899613,0.6687485298223977,0.5562334589429749,0.7440711149312449,0.07532258510884715,0.18783765598826996,10.0,17.0,18.0,8.0,14.0,15.0,10.0,19.0,26.0,sec:heldout
INTS12,1,-0.004815448091622603,0.0203062810406942,0.3257243174347796,0.36501386718972456,0.2678430150996934,-0.057881302335086204,-0.09717085209003118,3.0,7.0,14.0,4.0,7.0,16.0,2.0,7.0,13.0,sec:heldout
TOMM7,1,0.2711729510692927,-0.005238899369355386,0.05218522062578799,0.18456438040518322,0.04800446913896605,-0.00418075148682194,-0.13655991126621717,1.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,sec:heldout
MAP3K2,1,-0.09671482182733988,0.04432518985877625,0.3557149354319007,-0.011196163365315467,0.43391680124924425,0.07820186581734356,0.44511296461455974,3.0,3.0,10.0,1.0,1.0,5.0,3.0,7.0,10.0,sec:heldout
THAP2,1,0.13208384054005218,0.011911623629131783,0.17326615395579806,0.44677811577211773,0.10361584886233137,-0.06965030509346669,-0.34316226690978635,1.0,2.0,6.0,5.0,9.0,14.0,1.0,2.0,5.0,sec:heldout
CLOCK,1,-0.1544216732855072,0.0254605098191131,0.15467533466040542,0.15722481038945524,0.15640551460290877,0.0017301799425033515,-0.0008192957865464645,2.0,5.0,7.0,0.0,3.0,7.0,2.0,4.0,8.0,sec:heldout
SIPA1,1,-0.13064643212739166,0.030454490960928244,0.028187792655583802,-0.03201806827402917,-0.024549415766206294,-0.0527372084217901,0.007468652507822877,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,sec:heldout
