figure,panel,series,regime,context,x,value,ci95_low,ci95_high,statistic,owning_section
3,b,VCDesign-CED minus Base,mixed,RPE1,0.5,0.06530692210872802,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,RPE1,0.75,0.061986353903952976,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,RPE1,1.0,0.0526412845131594,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,HepG2,0.0,0.06721733587945242,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,HepG2,0.25,0.07031765975816004,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,HepG2,0.5,0.06922858977774295,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,HepG2,0.75,0.07010931317526965,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,HepG2,1.0,0.06984849602328516,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,Jurkat,0.0,0.04344172824885301,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,Jurkat,0.25,0.044510925900398124,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,Jurkat,0.5,0.04336989811630998,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,Jurkat,0.75,0.042827659973608434,,,median paired BU@20 difference,sec:context
3,b,VCDesign-CED minus Base,mixed,Jurkat,1.0,0.03896373989567356,,,median paired BU@20 difference,sec:context
4,a,natural,MASKED,pooled,1,0.024657374118783527,0.021207875559039205,0.027340686719883184,median paired BU@20 gain over Base; atlas rows 2676,sec:analysis
4,a,natural,MASKED,pooled,2,0.042104548556985893,0.03780583074130331,0.04567998987923316,median paired BU@20 gain over Base; atlas rows 5352,sec:analysis
4,a,natural,MASKED,pooled,3,0.049201783576071106,0.04556696045401165,0.05342857901455489,median paired BU@20 gain over Base; atlas rows 8028,sec:analysis
4,a,row_matched,MASKED,pooled,1,0.012329716271600497,0.0088682999810491,0.015388015842956439,median paired BU@20 gain over Base; atlas rows 840,sec:analysis
4,a,row_matched,MASKED,pooled,2,0.0069776577763359104,0.004636047968103796,0.00954703803572765,median paired BU@20 gain over Base; atlas rows 840,sec:analysis
4,a,row_matched,MASKED,pooled,3,0.0012159524770089247,-0.0011409741781416294,0.003580422548361182,median paired BU@20 gain over Base; atlas rows 840,sec:analysis
4,b,Predictive response basis,MASKED,pooled,,0.0009086250815539543,0.0005963330100796138,0.0012947454874863984,median paired BU@20 difference vs unit-direction ridge,sec:analysis
4,b,Context-invariant adapter,MASKED,pooled,,0.000765517042807029,-0.00026301082934039144,0.0018657979937954125,median paired BU@20 difference vs unit-direction ridge,sec:analysis
4,b,"Nonlinear memory, anchored",MASKED,pooled,,3.607056276377918e-05,-0.0009776275291242809,0.001140990886433435,median paired BU@20 difference vs unit-direction ridge,sec:analysis
4,b,Nonlinear effect memory,MASKED,pooled,,-0.02331013574684493,-0.025706710558696,-0.02079947856627999,median paired BU@20 difference vs unit-direction ridge,sec:analysis
4,b,Drop MAP-KG (STRING only),MASKED,pooled,,-0.0012912238309953153,-0.002618923622687952,-0.00020217538296346538,median paired BU@20 difference vs unit-direction ridge,sec:analysis
